Дата в форматі день/місяць/рік,Тривалість в год,Назва організації,Що потрібно зробити? (Запрошує тебе....),місце,Час,Тип завдання
щочетверга ,3,Львівський геріатричний пансіонат,"Поспілкуватися з пристарілими, підняти їм настрій",вул. Медової Печери 71,з 16:00,1
щовівторка,3,"Навчально-реабілітаційний центр ""Джерело""","Спілкуватися з молоддю та людьми, що там лікується, розбавити їх сірі будні",проспект Червоної Калини 86а,для детальної інформації пишіть у Viber або Телеграм на номер 0969300747,1
-,3,Дім Емаус,"Спілкуватися з неповносправними, розважити і підняти їм настрій",-,для детальної інформації пишіть у Viber або Телеграм на номер 0969300747,1
-,0.5,-, Зроби комплімент старшійлюдині і поділись з нею солодким.,-,-,0
-,0.5,-, Купи еко-сумку і користуйся нею.,-,-,0
-,0.5,-,Купи безхатченку їжі.,-,-,0
-,0.5,-," Нагодуй песика, що живе на вулиці.",-,-,0
-,0.5,-,Лиши декілька добрих записок у бібліотечних книгах.,-,-,0
-,0.5,-, Допоможи старшій людині донести сумки додому.,-,-,0
-,0.5,-,"Попідбирай сміття, що валяється на тротуарах.",-,-,0
-,0.5,-,Купи флягу на воду і перестань використовувати одноразові пластикові пляшки. ,-,-,0
-,0.5,-,Підніми комусь настрій поприбиравши навколо.,-,-,0
-,0.5,-,Пригости незнайомця чимось смачненьким.,-,-,0
-,0.5,-,Підніми настрій засмученому перехожому(застосуй свою фантазію). ,-,-,0